!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E5'  TableTitle=''  Document='MGluR'				
!TimePoint	!Time	>Y5	SD_Y5	>Y6	SD_Y6
E5T66	66	0.00012985	0.01	0.72544	0.13514
E5T67	67	0.00011342	0.01	0.73197	0.13305
E5T68	68	9.9134e-05	0.01	0.73832	0.13099
E5T69	69	8.6705e-05	0.01	0.7445	0.12897
E5T70	70	7.5884e-05	0.01	0.7505	0.12698
E5T71	71	6.6456e-05	0.01	0.75634	0.12501
E5T72	72	5.8235e-05	0.01	0.76202	0.12308
E5T73	73	5.1062e-05	0.01	0.76755	0.12118
E5T74	74	4.4799e-05	0.01	0.77293	0.11931
E5T75	75	3.9328e-05	0.01	0.77816	0.11747
E5T76	76	3.4544e-05	0.01	0.78326	0.11566
E5T77	77	3.036e-05	0.01	0.78822	0.11388
E5T78	78	2.6697e-05	0.01	0.79305	0.11212
E5T79	79	2.3489e-05	0.01	0.79775	0.1104
E5T80	80	2.0677e-05	0.01	0.80233	0.1087
E5T81	81	1.8212e-05	0.01	0.80679	0.10702
E5T82	82	1.6048e-05	0.01	0.81114	0.10538
E5T83	83	1.4149e-05	0.01	0.81537	0.10376
E5T84	84	1.2481e-05	0.01	0.8195	0.10217
E5T85	85	1.1014e-05	0.01	0.82352	0.1006
E5T86	86	9.7251e-06	0.01	0.82744	0.099057
E5T87	87	8.5907e-06	0.01	0.83126	0.097539
E5T88	88	7.5922e-06	0.01	0.83498	0.096045
E5T89	89	6.7128e-06	0.01	0.83861	0.094575
E5T90	90	5.938e-06	0.01	0.84215	0.093129
E5T91	91	5.2549e-06	0.01	0.8456	0.091705
E5T92	92	4.6524e-06	0.01	0.84897	0.090304
E5T93	93	4.1207e-06	0.01	0.85225	0.088926
E5T94	94	3.6513e-06	0.01	0.85545	0.08757
E5T95	95	3.2368e-06	0.01	0.85858	0.086235
E5T96	96	2.8705e-06	0.01	0.86163	0.084922
E5T97	97	2.5467e-06	0.01	0.8646	0.083629
E5T98	98	2.2603e-06	0.01	0.8675	0.082357
E5T99	99	2.0069e-06	0.01	0.87034	0.081106
E5T100	100	1.7826e-06	0.01	0.8731	0.079874
	101	1.5839e-06	0.01	0.8758	0.078662
	102	1.408e-06	0.01	0.87843	0.07747
	103	1.252e-06	0.01	0.881	0.076296
	104	1.1137e-06	0.01	0.88351	0.075141
	105	9.9109e-07	0.01	0.88596	0.074005
	106	8.8226e-07	0.01	0.88836	0.072886
	107	7.8566e-07	0.01	0.8907	0.071786
	108	6.9989e-07	0.01	0.89298	0.070703
	109	6.2369e-07	0.01	0.89521	0.069637
	110	5.5597e-07	0.01	0.89739	0.068588
	111	4.9577e-07	0.01	0.89951	0.067555
	112	4.4224e-07	0.01	0.90159	0.06654
	113	3.9462e-07	0.01	0.90362	0.06554
	114	3.5224e-07	0.01	0.90561	0.064556
	115	3.1451e-07	0.01	0.90755	0.063587
	116	2.8091e-07	0.01	0.90944	0.062634
	117	2.5097e-07	0.01	0.91129	0.061697
	118	2.243e-07	0.01	0.9131	0.060774
	119	2.0052e-07	0.01	0.91487	0.059865
	120	1.7932e-07	0.01	0.9166	0.058971
	121	1.604e-07	0.01	0.91829	0.058091
	122	1.4353e-07	0.01	0.91994	0.057225
	123	1.2846e-07	0.01	0.92156	0.056372
	124	1.1501e-07	0.01	0.92314	0.055533
	125	1.03e-07	0.01	0.92468	0.054708
	126	9.2269e-08	0.01	0.92619	0.053895
	127	8.2679e-08	0.01	0.92767	0.053095
	128	7.4105e-08	0.01	0.92911	0.052307
	129	6.6439e-08	0.01	0.93052	0.051532
	130	5.9582e-08	0.01	0.93191	0.05077
	131	5.3447e-08	0.01	0.93326	0.050019
	132	4.7956e-08	0.01	0.93458	0.049279
	133	4.304e-08	0.01	0.93587	0.048552
	134	3.8639e-08	0.01	0.93714	0.047836
	135	3.4696e-08	0.01	0.93837	0.047131
	136	3.1163e-08	0.01	0.93959	0.046437
	137	2.7998e-08	0.01	0.94077	0.045754
	138	2.516e-08	0.01	0.94193	0.045081
	139	2.2615e-08	0.01	0.94306	0.044419
	140	2.0332e-08	0.01	0.94417	0.043767
	141	1.8285e-08	0.01	0.94526	0.043126
	142	1.6447e-08	0.01	0.94632	0.042494
	143	1.4798e-08	0.01	0.94737	0.041873
	144	1.3317e-08	0.01	0.94838	0.04126
	145	1.1987e-08	0.01	0.94938	0.040658
	146	1.0792e-08	0.01	0.95036	0.040065
	147	9.7187e-09	0.01	0.95131	0.039481
	148	8.7541e-09	0.01	0.95225	0.038905
	149	7.8869e-09	0.01	0.95316	0.038339
	150	7.1072e-09	0.01	0.95406	0.037782
